Community Name,SPA,SD,CD,SSD,AD,USCD,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
Vermont Square,6,2,8,30,54,37,224,0,0,42,37,50,83,26,69,65,98,132,43,520,3,3,16,1,1,0,35,19,68,3,0,0,0,0,0,0,0,0,0,0,631,540,106,0,646,1277
Vernon,7,1,0,32,53,40,39,1,2,2,0,3,0,3,3,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,55
View Park-Windsor Hills,6,2,0,30,54,37,12,0,0,3,0,0,0,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
Vincent,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walnut,3,1,0,29,55,39,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
Walnut Park,7,1,0,33,59,44,2,0,2,0,1,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
Watts,6,2,15,35,64,44,102,0,0,11,9,14,12,12,18,16,28,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,203
West Adams-Expo Park,6,2,10,30,54,37,87,0,0,5,9,20,1,13,9,17,40,2,22,0,0,0,0,0,0,0,6,0,0,0,14,28,0,0,0,0,0,0,0,0,177,0,34,0,34,211
West Carson,8,2,0,35,66,43,26,0,1,3,1,22,15,19,5,2,43,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,132
West Compton,6,2,0,35,64,44,4,0,0,13,14,35,2,0,21,24,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,119
West Covina,3,1,0,9,18,32,34,0,0,3,0,2,0,3,5,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48
West Hills,2,5,12,27,45,30,21,0,0,1,0,6,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
West Hollywood,4,3,0,26,50,28,77,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,81
West Los Angeles,5,3,11,26,54,37,43,0,0,8,3,13,3,10,13,5,25,5,17,117,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,120,0,0,120,228
West Puente Valley,3,1,0,22,48,32,9,0,0,2,4,5,0,4,4,6,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36
West Whittier-Los Nietos,7,4,0,32,57,38,14,0,0,4,2,5,0,1,7,3,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36
Westchester/Playa Del Rey,5,2,11,26,62,43,44,0,0,88,20,102,45,21,136,34,195,71,35,0,0,0,0,0,0,0,0,0,0,14,2,3,0,0,0,0,0,0,0,0,515,0,17,0,17,532
Westlake,4,1,13,24,51,34,187,0,0,16,22,11,49,134,26,38,22,78,215,24,0,0,5,0,0,2,197,51,101,19,14,28,0,0,0,0,0,0,0,0,566,31,345,0,376,942
Westlake Village,2,3,0,27,44,26,0,0,0,0,0,9,0,15,0,0,17,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,41
Westmont / West Athens,8,2,0,30,59,43,197,0,0,20,10,34,12,9,33,18,67,19,15,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,16,0,0,16,365
Westside,5,3,5,30,54,37,41,0,0,7,6,6,16,13,12,9,12,26,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,29,0,0,29,150
Westwood,5,3,5,26,54,33,85,0,0,8,7,5,2,12,13,13,10,3,20,0,0,0,0,0,0,0,0,36,112,0,4,11,0,0,0,0,0,0,0,0,144,0,123,0,123,267
Whittier,7,4,0,32,57,38,96,0,0,15,9,17,2,1,24,16,33,4,2,0,16,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,79,0,0,79,254
Whittier Narrows,3,1,0,22,57,38,0,0,0,2,0,0,1,0,3,0,0,2,0,0,19,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,60,65
Willowbrook,6,2,0,35,64,44,71,0,0,21,16,94,9,3,32,28,178,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,329
Wilmington,8,4,15,35,64,44,188,0,0,29,32,121,19,26,46,56,232,30,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,19,0,0,19,613
Wilshire Center-Koreatown,4,2,13,24,53,34,148,0,0,13,27,7,21,39,21,45,14,34,65,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,327,0,22,0,22,349
Winnetka,2,3,3,27,45,30,10,0,0,0,2,36,3,2,0,3,70,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,92
Woodland Hills,2,3,3,27,45,30,50,0,0,13,10,33,2,12,22,18,65,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,180
